ARQUIVO	TIPO	CURSO	MODULO	AULA	CATEGORIA	JA_EXISTE_NO_PROJETO	HASH	DESTINO_PROPOSTO
01 - Marketing Digital, Negocios Online e Vendas/03 - Marketing de Rede, Lideranca e Equipes/Autor - O Codigo Lucrativo/06 - Upline Imparavel - Manual Contemporaneo de Mentoria e Lideranca de Equipa.pdf	PDF		Marketing de Rede, Lideranca e Equipes	Marketing de Rede, Lideranca e Equipes - Upline Imparavel Manual Contemporaneo de Mentoria e Lideranca de Equipa	Marketing de rede	sim	03fed14a82440333c1974eb2704ba8cdcc26a02a1d032e6ab96f6e0973971ff1	nao importar - duplicata por SHA-256
01 - Marketing Digital, Negocios Online e Vendas/04 - Produtos Digitais, Captura e Conversao/Autor - O Codigo Lucrativo/01 - 30 Truques para Maximizar Conversoes.pdf	PDF		Produtos Digitais, Captura e Conversao	Produtos Digitais, Captura e Conversao - 30 Truques para Maximizar Conversoes	Captação e funis	sim	ac208601473d76d49aa5529cd866f1695f50f69d6891b4f99193d35b3ab9bf52	nao importar - duplicata por SHA-256
01 - Marketing Digital, Negocios Online e Vendas/04 - Produtos Digitais, Captura e Conversao/Autor - O Codigo Lucrativo/02 - 7 Passos Para Ter Seu Proprio Produto Digital.pdf	PDF		Produtos Digitais, Captura e Conversao	Produtos Digitais, Captura e Conversao - 7 Passos Para Ter Seu Proprio Produto Digital	Captação e funis	sim	69e3d8de70f1f9369050d6ebc83666dade1ed2a6e3c63fb1b5a64d70890c3143	nao importar - duplicata por SHA-256
01 - Marketing Digital, Negocios Online e Vendas/04 - Produtos Digitais, Captura e Conversao/Autor - O Codigo Lucrativo/03 - Geracao de Contactos - Manual Contemporaneo.pdf	PDF		Produtos Digitais, Captura e Conversao	Produtos Digitais, Captura e Conversao - Geracao de Contactos Manual Contemporaneo	Captação e funis	sim	f24b0da5a41489f1ab8a8a47a756547a835ee7913446fcad17198fac49f4dcff	nao importar - duplicata por SHA-256
01 - Marketing Digital, Negocios Online e Vendas/04 - Produtos Digitais, Captura e Conversao/Autor - O Codigo Lucrativo/04 - Paginas de Captura - Projeto, Lancamento e Otimizacao.pdf	PDF		Produtos Digitais, Captura e Conversao	Produtos Digitais, Captura e Conversao - Paginas de Captura Projeto, Lancamento e Otimizacao	Captação e funis	sim	5c669d4880990fc4980af0cd0e38a2f69b4b0093834e231c94235bc5d1af5e4d	nao importar - duplicata por SHA-256
01 - Marketing Digital, Negocios Online e Vendas/04 - Produtos Digitais, Captura e Conversao/Autor - O Codigo Lucrativo/05 - Isqueiras Digitais - Guia Contemporaneo para eBooks Gratuitos como Ferramentas de Captacao.pdf	PDF		Produtos Digitais, Captura e Conversao	Produtos Digitais, Captura e Conversao - Isqueiras Digitais Guia Contemporaneo para eBooks Gratuitos como Ferramentas de Captacao	Captação e funis	sim	53ffacc08306940e7905f9ff38f144327601cc047e389d2a31aa822c5b0d8dcc	nao importar - duplicata por SHA-256
01 - Marketing Digital, Negocios Online e Vendas/05 - Comunicacao, Conteudo e Video/Autor - O Codigo Lucrativo/01 - A Linguagem Corporal - Guia Pratico e Contemporaneo.pdf	PDF		Comunicacao, Conteudo e Video	Comunicacao, Conteudo e Video - A Linguagem Corporal Guia Pratico e Contemporaneo	Conteúdo e criativos	sim	b2cf302eec27c03cade155e6fb8d5ca95ec60b7d2830beece991534951f00128	nao importar - duplicata por SHA-256
01 - Marketing Digital, Negocios Online e Vendas/05 - Comunicacao, Conteudo e Video/Autor - O Codigo Lucrativo/02 - Criacao de Videos Estrategicos.pdf	PDF		Comunicacao, Conteudo e Video	Comunicacao, Conteudo e Video - Criacao de Videos Estrategicos	Conteúdo e criativos	sim	8755222bd3f7af8668336b7b9c08a29e12a6a0ba364d2d73870a26b8c4c369c5	nao importar - duplicata por SHA-256
01 - Marketing Digital, Negocios Online e Vendas/05 - Comunicacao, Conteudo e Video/Autor - O Codigo Lucrativo/03 - Os Segredos Contemporaneos de Escrever Artigos.pdf	PDF		Comunicacao, Conteudo e Video	Comunicacao, Conteudo e Video - Os Segredos Contemporaneos de Escrever Artigos	Conteúdo e criativos	sim	249a163940b8076fd23d32034a53b66e26b94a0725012c6acf46ac02d307ffd6	nao importar - duplicata por SHA-256
01 - Marketing Digital, Negocios Online e Vendas/06 - Branding e Marca/Autor - O Codigo Lucrativo/01 - Elementos Obrigatorios na Construcao de uma Marca.pdf	PDF		Branding e Marca	Branding e Marca - Elementos Obrigatorios na Construcao de uma Marca	Marca e posicionamento	sim	38cd4206200cbb5605d11448ee669208523fea7ac3f7db0e6c3fdef35a48fd5e	nao importar - duplicata por SHA-256
01 - Marketing Digital, Negocios Online e Vendas/07 - Trabalho Online, Carreira e Financas/Autor - O Codigo Lucrativo/01 - Desenvolva Seu QI Financeiro.pdf	PDF		Trabalho Online, Carreira e Financas	Trabalho Online, Carreira e Financas - Desenvolva Seu QI Financeiro	Negócio digital	sim	cc70ba08c758464efb616f9bbc40087a007affc760544d223c5abeac88207eb5	nao importar - duplicata por SHA-256
01 - Marketing Digital, Negocios Online e Vendas/07 - Trabalho Online, Carreira e Financas/Autor - O Codigo Lucrativo/02 - Despeca o Seu Chefe - Edicao Responsavel e Tecnologica.pdf	PDF		Trabalho Online, Carreira e Financas	Trabalho Online, Carreira e Financas - Despeca o Seu Chefe Edicao Responsavel e Tecnologica	Negócio digital	sim	580582e8ea525ab4927d9b835dff7b064a9a1ef994f86e0f06a4894e8905ca90	nao importar - duplicata por SHA-256
01 - Marketing Digital, Negocios Online e Vendas/07 - Trabalho Online, Carreira e Financas/Autor - O Codigo Lucrativo/03 - Trabalhar a Partir de Casa - Guia Contemporaneo para Negocios Online.pdf	PDF		Trabalho Online, Carreira e Financas	Trabalho Online, Carreira e Financas - Trabalhar a Partir de Casa Guia Contemporaneo para Negocios Online	Negócio digital	sim	023cbb5d76dbf68db1cf7329a2dd2498010a484a3e292f780c2d294d6309b306	nao importar - duplicata por SHA-256
01 - Marketing Digital, Negocios Online e Vendas/07 - Trabalho Online, Carreira e Financas/Autor - O Codigo Lucrativo/04 - Porque Voce Pode Construir Uma Presenca Online Duradoura.pdf	PDF		Trabalho Online, Carreira e Financas	Trabalho Online, Carreira e Financas - Porque Voce Pode Construir Uma Presenca Online Duradoura	Negócio digital	sim	3f9d7e500b6a4a3097d14ab3e7c48d309b66c881b5d73b3566f9b44f5fcd4d85	nao importar - duplicata por SHA-256
01 - Marketing Digital, Negocios Online e Vendas/08 - Desenvolvimento Pessoal e Produtividade/Autor - O Codigo Lucrativo/01 - Mente em Rede - Tecnicas Praticas para Avivar a Memoria.pdf	PDF		Desenvolvimento Pessoal e Produtividade	Desenvolvimento Pessoal e Produtividade - Mente em Rede Tecnicas Praticas para Avivar a Memoria	Negócio digital	sim	8df8c7a5683d2f5eaa30213a53ae8eb8f909b4d27011d20d97122fd900e9e929	nao importar - duplicata por SHA-256
01 - Marketing Digital, Negocios Online e Vendas/08 - Desenvolvimento Pessoal e Produtividade/Autor - O Codigo Lucrativo/02 - Leitura Agil - Manual Contemporaneo de Leitura Rapida.pdf	PDF		Desenvolvimento Pessoal e Produtividade	Desenvolvimento Pessoal e Produtividade - Leitura Agil Manual Contemporaneo de Leitura Rapida	Negócio digital	sim	9722e6ab0262385994a321741328708ab530ea803f520c9d69db87cd59247825	nao importar - duplicata por SHA-256
01 - Marketing Digital, Negocios Online e Vendas/09 - Saude, Energia e Qualidade de Vida/Autor - O Codigo Lucrativo/01 - Como Aumentar o Seu Metabolismo - Edicao Contemporanea.pdf	PDF		Saude, Energia e Qualidade de Vida	Saude, Energia e Qualidade de Vida - Como Aumentar o Seu Metabolismo Edicao Contemporanea	Negócio digital	sim	174d7b924b07d9d8e297777194c83e4c9d3bdedd6797c2da0a0368885179c83a	nao importar - duplicata por SHA-256
01 - Marketing Digital, Negocios Online e Vendas/10 - Marketing Geral/Autor - O Codigo Lucrativo/01 - Estrategias de Vendas Intemporais - Edicao Contemporanea.pdf	PDF		Marketing Geral	Marketing Geral - Estrategias de Vendas Intemporais Edicao Contemporanea	Negócio digital	sim	6134a388d97f7f46dddc9776e153364468ed291b9aad00e61744b10dda672ae6	nao importar - duplicata por SHA-256
01 - Marketing Digital, Negocios Online e Vendas/10 - Marketing Geral/Autor - O Codigo Lucrativo/02 - Marketing Relacional por E-mail - Edicao Contemporanea.pdf	PDF		Marketing Geral	Marketing Geral - Marketing Relacional por E mail Edicao Contemporanea	Negócio digital	sim	94baf5cf9b531b83683b72eb1dbc55dbea18cab97462cbc0e511155dec12fe08	nao importar - duplicata por SHA-256
02 - Alimentos, Receitas e Renda Extra Gastronomica/01 - Pipocas Gourmet e Carameladas/Autor - Spolopanda3/01 - 10 RECEITAS EXTRAS CARAMELADAS.pdf	PDF		Pipocas Gourmet e Carameladas	Pipocas Gourmet e Carameladas - 10 RECEITAS EXTRAS CARAMELADAS	Ferramentas e modelos	nao	3682c23524b584865b7474accb7f705a1f8a3a8133b6294c3e18ffe98b493475	ebook-import/fontes_importados/3682c23524b58486/source.pdf
02 - Alimentos, Receitas e Renda Extra Gastronomica/01 - Pipocas Gourmet e Carameladas/Autor - Spolopanda3/02 - BALDAO DE PIPOCA TRUFADO.pdf	PDF		Pipocas Gourmet e Carameladas	Pipocas Gourmet e Carameladas - BALDAO DE PIPOCA TRUFADO	Ferramentas e modelos	nao	539861f374aca47bb3e13d835b4b72d4f6ca37224aa8885322a00f6696afc1a5	ebook-import/fontes_importados/539861f374aca47b/source.pdf
02 - Alimentos, Receitas e Renda Extra Gastronomica/01 - Pipocas Gourmet e Carameladas/Autor - Spolopanda3/03 - DICAS E MAIS RECEITAS.pdf	PDF		Pipocas Gourmet e Carameladas	Pipocas Gourmet e Carameladas - DICAS E MAIS RECEITAS	Ferramentas e modelos	nao	e94cc27e0dd0c8bd678d5766c9d66e5cc8fde857bd619af9a93b08e3b6970edf	ebook-import/fontes_importados/e94cc27e0dd0c8bd/source.pdf
02 - Alimentos, Receitas e Renda Extra Gastronomica/01 - Pipocas Gourmet e Carameladas/Autor - Spolopanda3/04 - PIPOCA CARAMELADA.pdf	PDF		Pipocas Gourmet e Carameladas	Pipocas Gourmet e Carameladas - PIPOCA CARAMELADA	Ferramentas e modelos	nao	4b6fea114357031e3b04298fb8c77e466a012b11f6279f9cd12e4ff42784f242	ebook-import/fontes_importados/4b6fea114357031e/source.pdf
02 - Alimentos, Receitas e Renda Extra Gastronomica/01 - Pipocas Gourmet e Carameladas/Autor - Spolopanda3/05 - PIPOCA GOURMET SALGADA.pdf	PDF		Pipocas Gourmet e Carameladas	Pipocas Gourmet e Carameladas - PIPOCA GOURMET SALGADA	Ferramentas e modelos	nao	c579f1d759e08ac861f6e545c7300764b1b8ca264d8f8fe0d54569014abee998	ebook-import/fontes_importados/c579f1d759e08ac8/source.pdf
02 - Alimentos, Receitas e Renda Extra Gastronomica/02 - Temperos, Molhos e Conservacao/Autor - Autor nao identificado/01 - 21 Receitas de Molhos.pdf	PDF		Temperos, Molhos e Conservacao	Temperos, Molhos e Conservacao - 21 Receitas de Molhos	Ferramentas e modelos	nao	01fdeff392908217443ea4fc3dd5a1108cada97bcfcd5cb73f768140ee4b8a2d	ebook-import/fontes_importados/01fdeff392908217/source.pdf
02 - Alimentos, Receitas e Renda Extra Gastronomica/02 - Temperos, Molhos e Conservacao/Autor - Chef Amanda Santana/01 - 30 Receitas de Temperos Naturais.pdf	PDF		Temperos, Molhos e Conservacao	Temperos, Molhos e Conservacao - 30 Receitas de Temperos Naturais	Ferramentas e modelos	nao	af7961912dca8a9d5f422074afa498e56bcbf318ba391b1367d5d5f8696081a5	ebook-import/fontes_importados/af7961912dca8a9d/source.pdf
02 - Alimentos, Receitas e Renda Extra Gastronomica/02 - Temperos, Molhos e Conservacao/Autor - Chef Amanda Santana e Chef Rogerio Holanda/01 - 30 Receitas de Tempero Da Chef Amanda Santana.pdf	PDF		Temperos, Molhos e Conservacao	Temperos, Molhos e Conservacao - 30 Receitas de Tempero Da Chef Amanda Santana	Ferramentas e modelos	nao	ea7aed089dadb8788eb651af4bfb8b42afe95c41b7013248b821821327ba7313	ebook-import/fontes_importados/ea7aed089dadb878/source.pdf
02 - Alimentos, Receitas e Renda Extra Gastronomica/02 - Temperos, Molhos e Conservacao/Autor - Chef Carol Freitas/01 - Temperos Lucrativos - Parte 02.pdf	PDF		Temperos, Molhos e Conservacao	Temperos, Molhos e Conservacao - Temperos Lucrativos Parte 02	Ferramentas e modelos	nao	2b84bd4d1bfdee429bc04fafd1d70d03ea23b1c8a5ef54127dc1c611bd2d9ffc	ebook-import/fontes_importados/2b84bd4d1bfdee42/source.pdf
02 - Alimentos, Receitas e Renda Extra Gastronomica/02 - Temperos, Molhos e Conservacao/Autor - Matheus Araujo Soares/01 - OS TEMPEROS FAVORITOS DOS GANHADORES DO MASTERCHEF.pdf	PDF		Temperos, Molhos e Conservacao	Temperos, Molhos e Conservacao - OS TEMPEROS FAVORITOS DOS GANHADORES DO MASTERCHEF	Ferramentas e modelos	nao	e5478cfe67333e8f955a6ebe9f11c4cb41a2a19c535cc20b7707a38dfb5d47ef	ebook-import/fontes_importados/e5478cfe67333e8f/source.pdf
02 - Alimentos, Receitas e Renda Extra Gastronomica/02 - Temperos, Molhos e Conservacao/Autor - Matheus Araujo Soares/02 - TECNICAS DE CONGELAMENTO.pdf	PDF		Temperos, Molhos e Conservacao	Temperos, Molhos e Conservacao - TECNICAS DE CONGELAMENTO	Ferramentas e modelos	nao	a1be5f1254491597faafe32fd540a22da3ef6c14533c91280ca7ecd650a765fc	ebook-import/fontes_importados/a1be5f1254491597/source.pdf
02 - Alimentos, Receitas e Renda Extra Gastronomica/02 - Temperos, Molhos e Conservacao/Autor - Nadia Borges e Chef Amanda Santana/01 - Guia Completo Temperos Caseiros.pdf	PDF		Temperos, Molhos e Conservacao	Temperos, Molhos e Conservacao - Guia Completo Temperos Caseiros	Ferramentas e modelos	nao	a1840cebbbc8c14cc4e6736b722484dde3bcf8981f50915578eea08d1e1b9651	ebook-import/fontes_importados/a1840cebbbc8c14c/source.pdf
02 - Alimentos, Receitas e Renda Extra Gastronomica/03 - Marmitas e Cardapios/Autor - Autor nao identificado/01 - CARDAPIO DE MARMITAS.pdf	PDF		Marmitas e Cardapios	Marmitas e Cardapios - CARDAPIO DE MARMITAS	Ferramentas e modelos	nao	f709fa97d81e01fc7a4931caf95193b973c256f12731dbac75438ed3e835acd7	ebook-import/fontes_importados/f709fa97d81e01fc/source.pdf
03 - Profissoes, Cursos Tecnicos e Servicos/01 - Eletricista Residencial e Predial/Autor - Autor nao identificado/01 - BONUS - INSTALACAO ELETRICA DE BAIXA TENSAO.pdf	PDF		Eletricista Residencial e Predial	Eletricista Residencial e Predial - BONUS INSTALACAO ELETRICA DE BAIXA TENSAO	Desenvolvimento pessoal e financeiro	nao	7ee4010ee674378e195349dfebcafa429701d9967bc0ee8c1df6b5baaf43a503	ebook-import/fontes_importados/7ee4010ee674378e/source.pdf
03 - Profissoes, Cursos Tecnicos e Servicos/01 - Eletricista Residencial e Predial/Autor - Autor nao identificado/02 - ELETRICISTA RESIDENCIAL 2.0.pdf	PDF		Eletricista Residencial e Predial	ELETRICISTA RESIDENCIAL 2.0	Desenvolvimento pessoal e financeiro	nao	0318d422046a597983a88d6c9320ea56a8971ab01ae8692f8242ed6b3381f8db	ebook-import/fontes_importados/0318d422046a5979/source.pdf
03 - Profissoes, Cursos Tecnicos e Servicos/01 - Eletricista Residencial e Predial/Autor - MinasMega Cursos Online/01 - APOSTILA ELETRICISTA RESIDENCIAL.pdf	PDF		Eletricista Residencial e Predial	APOSTILA ELETRICISTA RESIDENCIAL	Desenvolvimento pessoal e financeiro	nao	77b3c387e3598d2871a35576ad5dad815d1306930853bdd5ac5aa88db6b1a413	ebook-import/fontes_importados/77b3c387e3598d28/source.pdf
03 - Profissoes, Cursos Tecnicos e Servicos/01 - Eletricista Residencial e Predial/Autor - PUCRS - Grupo de Eficiencia Energetica/01 - BONUS - ECONOMIA DE ENERGIA ELETRICA.pdf	PDF		Eletricista Residencial e Predial	Eletricista Residencial e Predial - BONUS ECONOMIA DE ENERGIA ELETRICA	Desenvolvimento pessoal e financeiro	nao	d9617a61b23baa09ef14732d042463f8d2f2654add87162985d20eb801e25ef3	ebook-import/fontes_importados/d9617a61b23baa09/source.pdf
03 - Profissoes, Cursos Tecnicos e Servicos/02 - Energia Solar Fotovoltaica/Autor - SENAI/01 - BONUS - CURSO INSTALACAO DE PAINEL SOLAR.pdf	PDF		Energia Solar Fotovoltaica	Energia Solar Fotovoltaica - BONUS CURSO INSTALACAO DE PAINEL SOLAR	Desenvolvimento pessoal e financeiro	nao	f0c0f410f5fcdf06c9929835538747be057bc874b62a7f3ba86339cd09514058	ebook-import/fontes_importados/f0c0f410f5fcdf06/source.pdf
03 - Profissoes, Cursos Tecnicos e Servicos/03 - Comandos Eletricos/Autor - Prof Milton Domingos Xavier/01 - BONUS - COMANDOS ELETRICOS.pdf	PDF		Comandos Eletricos	BONUS COMANDOS ELETRICOS	Desenvolvimento pessoal e financeiro	nao	b53866a8d6f8c43399ffa01127ad7740193bf803e859aa98c19017138ced7ec0	ebook-import/fontes_importados/b53866a8d6f8c433/source.pdf
03 - Profissoes, Cursos Tecnicos e Servicos/04 - Seguranca, NR10 e Ferramentas/Autor - Autor nao identificado/01 - BONUS - CHECKLIST DE FERRAMENTAS.pdf	PDF		Seguranca, NR10 e Ferramentas	Seguranca, NR10 e Ferramentas - BONUS CHECKLIST DE FERRAMENTAS	Desenvolvimento pessoal e financeiro	nao	6cc71f93c1646d7fa8a29554aec418d7721d172a21d864eb941f4f54c4b2c5d3	ebook-import/fontes_importados/6cc71f93c1646d7f/source.pdf
03 - Profissoes, Cursos Tecnicos e Servicos/04 - Seguranca, NR10 e Ferramentas/Autor - Autor nao identificado/02 - BONUS - MANUAL NR10.pdf	PDF		Seguranca, NR10 e Ferramentas	Seguranca, NR10 e Ferramentas - BONUS MANUAL NR10	Desenvolvimento pessoal e financeiro	nao	38acb041f39c9f4e1a20a5a289abeabd006bf3178b113da0158305e14bb5351c	ebook-import/fontes_importados/38acb041f39c9f4e/source.pdf
03 - Profissoes, Cursos Tecnicos e Servicos/04 - Seguranca, NR10 e Ferramentas/Autor - Professor Vanderley/01 - BONUS - MANUAL DE PROTECAO DO ELETRICISTA.pdf	PDF		Seguranca, NR10 e Ferramentas	Seguranca, NR10 e Ferramentas - BONUS MANUAL DE PROTECAO DO ELETRICISTA	Desenvolvimento pessoal e financeiro	nao	cdc5e221e1aabe4ce9676905f2fc40fcbc238df20eb59f7897000bca30c7c333	ebook-import/fontes_importados/cdc5e221e1aabe4c/source.pdf
03 - Profissoes, Cursos Tecnicos e Servicos/05 - Precificacao e Orcamentos/Autor - Eletricista Pro/01 - BONUS - TABELA DE PRECOS.pdf	PDF		Precificacao e Orcamentos	Precificacao e Orcamentos - BONUS TABELA DE PRECOS	Desenvolvimento pessoal e financeiro	nao	b2dc5872568551f90f122f58878523aa79aa3f83facc3bb554255b4a10e72e64	ebook-import/fontes_importados/b2dc5872568551f9/source.pdf
04 - Produtos Artesanais, Limpeza, Beleza e Cheiro/01 - Produtos de Limpeza e Fornecedores/Autor - Patrick Oliveira/01 - FORNECEDORES.pdf	PDF		Produtos de Limpeza e Fornecedores	Produtos de Limpeza e Fornecedores - FORNECEDORES	Ferramentas e modelos	nao	4bd05a612079464051faee3312d2025b9afd0baa4abcd30a3cbe2ebe66acca40	ebook-import/fontes_importados/4bd05a6120794640/source.pdf
04 - Produtos Artesanais, Limpeza, Beleza e Cheiro/01 - Produtos de Limpeza e Fornecedores/Autor - Patrick Oliveira/02 - RECEITAS LIMPEZA.pdf	PDF		Produtos de Limpeza e Fornecedores	Produtos de Limpeza e Fornecedores - RECEITAS LIMPEZA	Ferramentas e modelos	nao	f1c1a97aad64661e6ca67f9f33ce80340a1d15dcbd63ab2071902a2382fe31c6	ebook-import/fontes_importados/f1c1a97aad64661e/source.pdf
04 - Produtos Artesanais, Limpeza, Beleza e Cheiro/01 - Produtos de Limpeza e Fornecedores/Autor - Patrick Oliveira/03 - RECEITAS LIMPEZA 50LITROS.pdf	PDF		Produtos de Limpeza e Fornecedores	Produtos de Limpeza e Fornecedores - RECEITAS LIMPEZA 50LITROS	Ferramentas e modelos	nao	510c42a7b6d0658a161e666f4c9f6bc91e8dd77e0bd4a1bc9aaa13f3cbf13b44	ebook-import/fontes_importados/510c42a7b6d0658a/source.pdf
04 - Produtos Artesanais, Limpeza, Beleza e Cheiro/01 - Produtos de Limpeza e Fornecedores/Autor - Patrick Oliveira/04 - RECEITA LIMPA PISO.pdf	PDF		Produtos de Limpeza e Fornecedores	Produtos de Limpeza e Fornecedores - RECEITA LIMPA PISO	Ferramentas e modelos	nao	a24c418c5bfede8f62a507779a7ab1c5010ede56a2d3546abfc9a067f46833a3	ebook-import/fontes_importados/a24c418c5bfede8f/source.pdf
04 - Produtos Artesanais, Limpeza, Beleza e Cheiro/02 - Cosmeticos Artesanais - Cremes, Shampoo e Condicionador/Autor - Matheus Martins/01 - 1 - Bonus Cremes Hidratantes.pdf	PDF		Cosmeticos Artesanais - Cremes, Shampoo e Condicionador	Cosmeticos Artesanais - Cremes, Shampoo e Condicionador - 1 Bonus Cremes Hidratantes	Ferramentas e modelos	nao	405abcb1a180eae943b5a28efc081514bb28b9a7839061d90ec911bf979a4d1c	ebook-import/fontes_importados/405abcb1a180eae9/source.pdf
04 - Produtos Artesanais, Limpeza, Beleza e Cheiro/02 - Cosmeticos Artesanais - Cremes, Shampoo e Condicionador/Autor - Matheus Martins/02 - 1 - Extra Cremes Hidratantes.pdf	PDF		Cosmeticos Artesanais - Cremes, Shampoo e Condicionador	Cosmeticos Artesanais - Cremes, Shampoo e Condicionador - 1 Extra Cremes Hidratantes	Ferramentas e modelos	sim - duplicata interna do ZIP	405abcb1a180eae943b5a28efc081514bb28b9a7839061d90ec911bf979a4d1c	nao importar - duplicata interna de 405abcb1a180eae9
04 - Produtos Artesanais, Limpeza, Beleza e Cheiro/02 - Cosmeticos Artesanais - Cremes, Shampoo e Condicionador/Autor - Matheus Martins/03 - 2 - Bonus Shampoo Artesanal.pdf	PDF		Cosmeticos Artesanais - Cremes, Shampoo e Condicionador	Cosmeticos Artesanais - Cremes, Shampoo e Condicionador - 2 Bonus Shampoo Artesanal	Ferramentas e modelos	nao	44168bf65ec2a557ef9560628e379b8a54bd6183782d885e76e452887d44305d	ebook-import/fontes_importados/44168bf65ec2a557/source.pdf
04 - Produtos Artesanais, Limpeza, Beleza e Cheiro/02 - Cosmeticos Artesanais - Cremes, Shampoo e Condicionador/Autor - Matheus Martins/04 - 2 - Extra Shampoo Artesanal.pdf	PDF		Cosmeticos Artesanais - Cremes, Shampoo e Condicionador	Cosmeticos Artesanais - Cremes, Shampoo e Condicionador - 2 Extra Shampoo Artesanal	Ferramentas e modelos	sim - duplicata interna do ZIP	44168bf65ec2a557ef9560628e379b8a54bd6183782d885e76e452887d44305d	nao importar - duplicata interna de 44168bf65ec2a557
